,Unnamed: 0,player,time,user_id,message,match,special_token_message,label
21442,21521,2,281,war_maniac,?,664,[Team0][Player2]: ?,
21443,21522,2,288,war_maniac,?,664,[Team0][Player2]: ?,
21444,21523,3,467,阴天快乐,ty,664,[Team0][Player3]: ty,
21445,21524,0,1384,Hawk,he's gone,664,[Team0][Player0]: he's gone,
21446,21525,2,1391,war_maniac,hes gone lol,664,[Team0][Player2]: hes gone lol,
21447,21526,3,1391,阴天快乐,"he was gone ",664,"[Team0][Player3]: he was gone ",
21448,21527,8,1391,Killa Mase,you're gone,664,[Team1][Player3]: you're gone,
21449,21528,1,1391,howdy lmao,rip,664,[Team0][Player1]: rip,
21450,21529,9,1391,Meltedanus,when im gone,664,[Team1][Player4]: when im gone,
21451,21530,8,1391,Killa Mase,we've already won,664,[Team1][Player3]: we've already won,
21452,21531,9,1391,Meltedanus,by eminem,664,[Team1][Player4]: by eminem,
21453,21532,3,1391,阴天快乐,lol,664,[Team0][Player3]: lol,
21454,21533,8,1391,Killa Mase,you can make this a 30 min game or a 50 min game,664,[Team1][Player3]: you can make this a 30 min game or a 50 min game,
21455,21534,3,1391,阴天快乐,"i can kill u like a shit ",664,"[Team0][Player3]: i can kill u like a shit ",x
21456,21535,8,1391,Killa Mase,we'll still win,664,[Team1][Player3]: we'll still win,
21457,21536,2,1391,war_maniac,ok then lets go,664,[Team0][Player2]: ok then lets go,
21458,21537,8,1434,Killa Mase,lmao ez,664,[Team1][Player3]: lmao ez,
21459,21538,3,2183,阴天快乐,ez,664,[Team0][Player3]: ez,
21460,21539,8,2193,Killa Mase,hehe,664,[Team1][Player3]: hehe,
21461,21540,8,2285,Killa Mase,YOU THINK YOU CAN FUCKING STOP ME?,664,[Team1][Player3]: YOU THINK YOU CAN FUCKING STOP ME?,
21462,21541,2,2288,war_maniac,lol,664,[Team0][Player2]: lol,
21463,21542,2,2290,war_maniac,i missed ult,664,[Team0][Player2]: i missed ult,
21464,21543,2,2293,war_maniac,when u mantaed,664,[Team0][Player2]: when u mantaed,
21465,21544,2,2294,war_maniac,was lucky,664,[Team0][Player2]: was lucky,
21466,21545,8,2296,Killa Mase,no,664,[Team1][Player3]: no,
21467,21546,8,2298,Killa Mase,you got it,664,[Team1][Player3]: you got it,
21468,21547,8,2313,Killa Mase,why do you think i was half hp after that fight,664,[Team1][Player3]: why do you think i was half hp after that fight,
21469,21548,9,3460,Meltedanus,just base rase,664,[Team1][Player4]: just base rase,
21470,21549,9,3467,Meltedanus,,664,[Team1][Player4]: ,
21471,21550,2,3470,war_maniac,?,664,[Team0][Player2]: ?,
21472,21551,2,3495,war_maniac,gg?,664,[Team0][Player2]: gg?,
21473,21552,9,3622,Meltedanus,ggwp,664,[Team1][Player4]: ggwp,
21474,21553,2,3623,war_maniac,gg,664,[Team0][Player2]: gg,
21475,21554,3,3624,阴天快乐,seeu,664,[Team0][Player3]: seeu,
21476,21555,0,3624,Hawk,gg,664,[Team0][Player0]: gg,
21477,21556,8,3625,Killa Mase,ggwp,664,[Team1][Player3]: ggwp,
21478,21557,8,3627,Killa Mase,5v4,664,[Team1][Player3]: 5v4,
21479,21558,8,3628,Killa Mase,ok,664,[Team1][Player3]: ok,
21480,21559,4,3633,g0od sHit✔go0ԁ sHit✔,gg,664,[Team0][Player4]: gg,
21481,21560,3,3633,阴天快乐,"noob alch ",664,"[Team0][Player3]: noob alch ",
21482,21561,2,3636,war_maniac,even if had husk,664,[Team0][Player2]: even if had husk,
21483,21562,8,3639,Killa Mase,took you long enough,664,[Team1][Player3]: took you long enough,
65056,65210,0,539,Sublimity,lol,2096,[Team0][Player0]: lol,
65057,65211,0,3609,Sublimity,gg wp,2096,[Team0][Player0]: gg wp,
117089,117370,0,2074,WK.WTF-,really,3933,[Team0][Player0]: really,
117090,117371,7,2080,Zindra,yupp,3933,[Team1][Player2]: yupp,
117091,117372,5,2096,kajsBorv,does ES reflect?,3933,[Team1][Player0]: does ES reflect?,
117092,117373,3,2672,4Freak,gg,3933,[Team0][Player3]: gg,
117093,117374,7,2675,Zindra,gg wp,3933,[Team1][Player2]: gg wp,
117094,117375,5,2676,kajsBorv,gg wp,3933,[Team1][Player0]: gg wp,
117095,117376,6,2677,Rosse,gg,3933,[Team1][Player1]: gg,
117096,117377,9,2677,Baldy,gg wp,3933,[Team1][Player4]: gg wp,
117097,117378,0,2684,WK.WTF-,gg wp,3933,[Team0][Player0]: gg wp,
131367,131648,3,447,Оберег,!,4445,[Team0][Player3]: !,
131368,131649,0,497,MadFox,lol,4445,[Team0][Player0]: lol,
131369,131650,3,497,Оберег,!,4445,[Team0][Player3]: !,
131370,131651,3,725,Оберег,тушка,4445,[Team0][Player3]: тушка,
131371,131652,9,1157,God Usopp,xD,4445,[Team1][Player4]: xD,
131372,131653,3,1157,Оберег,=))),4445,[Team0][Player3]: =))),
131373,131654,6,1361,Καπetαn,Ez,4445,[Team1][Player1]: Ez,
131374,131655,0,1386,MadFox,xD,4445,[Team0][Player0]: xD,
131375,131656,7,1396,Lick It,commend alche + gyro,4445,[Team1][Player2]: commend alche + gyro,
131376,131657,7,1399,Lick It,pro carries,4445,[Team1][Player2]: pro carries,
131377,131658,2,1424,@finqSTR,2-2-18,4445,[Team0][Player2]: 2-2-18,
131378,131659,2,1428,@finqSTR,5-2-18,4445,[Team0][Player2]: 5-2-18,
131379,131660,2,1432,@finqSTR,5-3-20,4445,[Team0][Player2]: 5-3-20,
131380,131661,3,1465,Оберег,=),4445,[Team0][Player3]: =),
131381,131662,0,1584,MadFox,ez,4445,[Team0][Player0]: ez,
131382,131663,1,1585,@Immoooortal,gg dire,4445,[Team0][Player1]: gg dire,
131383,131664,1,1588,@Immoooortal,,4445,[Team0][Player1]: ,
131384,131665,9,1589,God Usopp,gg,4445,[Team1][Player4]: gg,
131385,131666,2,1593,@finqSTR,вообще не ощутили,4445,[Team0][Player2]: вообще не ощутили,
131386,131667,0,1605,MadFox,to 4uvstvo,4445,[Team0][Player0]: to 4uvstvo,
131387,131668,0,1612,MadFox,kogda vipera ubili bol`we 4em suporta,4445,[Team0][Player0]: kogda vipera ubili bol`we 4em suporta,
151932,152272,7,26,Yummy,riki imma fuk u in the ass,5188,[Team1][Player2]: riki imma fuk u in the ass,x
151933,152273,9,297,UNWINNABLE GAMES EVERYWHERE,THE TEAM,5188,[Team1][Player4]: THE TEAM,
151934,152274,9,299,UNWINNABLE GAMES EVERYWHERE,THE TEAAAAAAAM,5188,[Team1][Player4]: THE TEAAAAAAAM,
151935,152275,9,302,UNWINNABLE GAMES EVERYWHERE,RIKI ROAMERRRRR,5188,[Team1][Player4]: RIKI ROAMERRRRR,
151936,152276,9,717,UNWINNABLE GAMES EVERYWHERE,ARE YOU IN ANOTHER DIMENSION AND JUST BLINK TO ME AND DMG ME?,5188,[Team1][Player4]: ARE YOU IN ANOTHER DIMENSION AND JUST BLINK TO ME AND DMG ME?,
151937,152277,9,1877,UNWINNABLE GAMES EVERYWHERE,end,5188,[Team1][Player4]: end,
151938,152278,9,1887,UNWINNABLE GAMES EVERYWHERE,"i mean, we will end",5188,"[Team1][Player4]: i mean, we will end",
151939,152279,9,1890,UNWINNABLE GAMES EVERYWHERE,WE WILL REKT YOU,5188,[Team1][Player4]: WE WILL REKT YOU,
151940,152280,6,1919,RANDOM EVERYGAME,ff pls,5188,[Team1][Player1]: ff pls,
151941,152281,8,2008,Boelens |祝融| CSGOPowerball.,gg,5188,[Team1][Player3]: gg,
151942,152282,1,2015,[NJ]SHUT UP,Gg,5188,[Team0][Player1]: Gg,
160577,160917,6,1733,Kill the Gringo,ggwp,5498,[Team1][Player1]: ggwp,
160578,160918,7,2037,Twitch.tvRun if You Can,gg,5498,[Team1][Player2]: gg,
162890,163230,2,-70,RtmS¯\_(ツ)_/¯,sec pls,5579,[Team0][Player2]: sec pls,
162891,163231,0,-70,Antrioutsaz,go,5579,[Team0][Player0]: go,
162892,163232,2,-70,RtmS¯\_(ツ)_/¯,ty,5579,[Team0][Player2]: ty,
162893,163233,3,772,road to something,?,5579,[Team0][Player3]: ?,
162894,163234,6,1009,MyMeK,WORTH,5579,[Team1][Player1]: WORTH,
162895,163235,3,1018,road to something,Stop talking all please,5579,[Team0][Player3]: Stop talking all please,
162896,163236,9,1022,"Beesa, playing the carry",+,5579,[Team1][Player4]: +,
162897,163237,3,3221,road to something,w8 plz,5579,[Team0][Player3]: w8 plz,
162898,163238,6,3224,MyMeK,GYGY BOYZ,5579,[Team1][Player1]: GYGY BOYZ,
162899,163239,3,3224,road to something,not yet my precious,5579,[Team0][Player3]: not yet my precious,
162900,163240,6,3224,MyMeK,i think,5579,[Team1][Player1]: i think,
162901,163241,1,3224,Road.To.Pakistan!ChristoAggouri,pakistan is going to own Mate,5579,[Team0][Player1]: pakistan is going to own Mate,
162902,163242,6,3224,MyMeK,"its gg we lost ",5579,"[Team1][Player1]: its gg we lost ",
162903,163243,1,3224,Road.To.Pakistan!ChristoAggouri,pakistan forever,5579,[Team0][Player1]: pakistan forever,
162904,163244,1,3224,Road.To.Pakistan!ChristoAggouri,u know>,5579,[Team0][Player1]: u know>,
162905,163245,1,3224,Road.To.Pakistan!ChristoAggouri,?,5579,[Team0][Player1]: ?,
162906,163246,3,3224,road to something,go?,5579,[Team0][Player3]: go?,
162907,163247,1,3224,Road.To.Pakistan!ChristoAggouri,all my life i wanna travel to pakistan and jamaica,5579,[Team0][Player1]: all my life i wanna travel to pakistan and jamaica,
162908,163248,3,3224,road to something,final battle all focus me,5579,[Team0][Player3]: final battle all focus me,
162909,163249,1,3224,Road.To.Pakistan!ChristoAggouri,u know?,5579,[Team0][Player1]: u know?,
