,message,label,player,special_token_message,match
0,репорт инвока,,1,[Team0][Player1]: репорт инвока,41
1,фидит курой,,1,[Team0][Player1]: фидит курой,41
2,+ слил мид,,1,[Team0][Player1]: + слил мид,41
3,Ez mid,,1,[Team0][Player1]: Ez mid,41
4,пидор,,7,[Team1][Player2]: пидор,41
5,там мартышка,,3,[Team0][Player3]: там мартышка,41
6,снайпер как тебе наш мидер?,,1,[Team0][Player1]: снайпер как тебе наш мидер?,41
7,трупы вы все парни,,2,[Team0][Player2]: трупы вы все парни,41
8,неплохо,,9,[Team1][Player4]: неплохо,41
9,lol,,6,[Team1][Player1]: lol,41
10,он 1 раз спасался если бы ещё сейв тп было,,9,[Team1][Player4]: он 1 раз спасался если бы ещё сейв тп было,41
11,то норм было бы,,9,[Team1][Player4]: то норм было бы,41
12,он вместе с тини играет,,1,[Team0][Player1]: он вместе с тини играет,41
13,два долбаеба,x,1,[Team0][Player1]: два долбаеба,41
14,hello kratos,,1,[Team0][Player1]: hello kratos,39
15,i hope you enjoy the game,,1,[Team0][Player1]: i hope you enjoy the game,39
16,zzz,,9,[Team1][Player4]: zzz,39
17,oh kratos,,1,[Team0][Player1]: oh kratos,39
18,not in jungle?,,1,[Team0][Player1]: not in jungle?,39
19,HAHAHAHA,,1,[Team0][Player1]: HAHAHAHA,39
20,pure shit,,1,[Team0][Player1]: pure shit,39
21,whats wrong pussy,x,1,[Team0][Player1]: whats wrong pussy,39
22,LOL,,1,[Team0][Player1]: LOL,39
23,no team,,9,[Team1][Player4]: no team,39
24,lol,,9,[Team1][Player4]: lol,39
25,how does it feel kratos fag,x,1,[Team0][Player1]: how does it feel kratos fag,39
26,yeah jugg threw in our game too,,1,[Team0][Player1]: yeah jugg threw in our game too,39
27,we had him last game,,1,[Team0][Player1]: we had him last game,39
28,he told us suck a dick,,1,[Team0][Player1]: he told us suck a dick,39
29,but how hes sucking mine,x,1,[Team0][Player1]: but how hes sucking mine,39
30,i have no team end this,,9,[Team1][Player4]: i have no team end this,39
31,end,,9,[Team1][Player4]: end,39
32,how does it feel faggot,x,1,[Team0][Player1]: how does it feel faggot,39
33,MISSLES!,,9,[Team1][Player4]: MISSLES!,39
34,end =),,9,[Team1][Player4]: end =),39
35,missles indeed,,0,[Team0][Player0]: missles indeed,39
36,lol,,9,[Team1][Player4]: lol,39
37,gg tyu,,3,[Team0][Player3]: gg tyu,39
38,gg,,4,[Team0][Player4]: gg,39
39,thank you,,0,[Team0][Player0]: thank you,39
40,enjoy your anal rimming,x,1,[Team0][Player1]: enjoy your anal rimming,39
41,gg,,0,[Team0][Player0]: gg,39
42,commend,,4,[Team0][Player4]: commend,39
43,fucking faggot krratos,x,1,[Team0][Player1]: fucking faggot krratos,39
44,?,,3,[Team0][Player3]: ?,13
45,dont pause for nothing,,3,[Team0][Player3]: dont pause for nothing,13
46,disucssing,,8,[Team1][Player3]: disucssing,13
47,tactical pause,,5,[Team1][Player0]: tactical pause,13
48,kill,,8,[Team1][Player3]: kill,13
49,sry,,8,[Team1][Player3]: sry,13
50,wtf mid come back,,9,[Team1][Player4]: wtf mid come back,13
51,}wtf,,3,[Team0][Player3]: }wtf,13
52,wtf,,3,[Team0][Player3]: wtf,13
53,woiwowowo,,3,[Team0][Player3]: woiwowowo,13
54,:O,,7,[Team1][Player2]: :O,13
55,Lol,,8,[Team1][Player3]: Lol,13
56,ur pause,,8,[Team1][Player3]: ur pause,13
57,lol,,4,[Team0][Player4]: lol,13
58,think,,0,[Team0][Player0]: think,13
59,gonna push more?,,3,[Team0][Player3]: gonna push more?,13
60,end,,3,[Team0][Player3]: end,13
61,can u ppl push,,3,[Team0][Player3]: can u ppl push,13
62,u dont def,,8,[Team1][Player3]: u dont def,13
63,i have to go to another game,,3,[Team0][Player3]: i have to go to another game,13
64,talk cock,,8,[Team1][Player3]: talk cock,13
65,i wont def,,3,[Team0][Player3]: i wont def,13
66,GGWP,,8,[Team1][Player3]: GGWP,13
67,commend me,,7,[Team1][Player2]: commend me,13
68,COMMend us,,8,[Team1][Player3]: COMMend us,13
69,lol storm,,4,[Team0][Player4]: lol storm,13
70,Haha,,9,[Team1][Player4]: Haha,13
71,wow,,3,[Team0][Player3]: wow,13
72,ez game,,8,[Team1][Player3]: ez game,13
73,gg,,6,[Team1][Player1]: gg,13
74,EZ MID,,7,[Team1][Player2]: EZ MID,13
75,==,,8,[Team1][Player3]: ==,13
76,EZ MID,,7,[Team1][Player2]: EZ MID,13
77,super ez,,8,[Team1][Player3]: super ez,13
78,x3 gem,,9,[Team1][Player4]: x3 gem,13
79,EZ MID,,7,[Team1][Player2]: EZ MID,13
80,haha,,9,[Team1][Player4]: haha,13
81,EZ MID,,7,[Team1][Player2]: EZ MID,13
82,lmao,,3,[Team0][Player3]: lmao,92
83,is he coming,,0,[Team0][Player0]: is he coming,92
84,no,,5,[Team1][Player0]: no,92
85,jugg chill,,0,[Team0][Player0]: jugg chill,92
86,if he will reconnect,,9,[Team1][Player4]: if he will reconnect,92
87,i will report jug,,9,[Team1][Player4]: i will report jug,92
88,100%,,9,[Team1][Player4]: 100%,92
89,+,,6,[Team1][Player1]: +,92
90,what's his problem,,0,[Team0][Player0]: what's his problem,92
91,he is virgian,,9,[Team1][Player4]: he is virgian,92
92,wtf,,3,[Team0][Player3]: wtf,92
93,XD,,3,[Team0][Player3]: XD,92
94,I will report every void pickers,,2,[Team0][Player2]: I will report every void pickers,92
95,ha,,3,[Team0][Player3]: ha,92
96,from now on,,2,[Team0][Player2]: from now on,92
97,xD,,6,[Team1][Player1]: xD,92
98,omg this game,,3,[Team0][Player3]: omg this game,92
99,XD,,3,[Team0][Player3]: XD,92
100,;DDDD,,3,[Team0][Player3]: ;DDDD,92
101,ck is high I am sure,,0,[Team0][Player0]: ck is high I am sure,92
102,wHATS HAPPEINN,,3,[Team0][Player3]: wHATS HAPPEINN,92
103,fucking trash void players always ruin my game,,2,[Team0][Player2]: fucking trash void players always ruin my game,92
104,can't chrono,,2,[Team0][Player2]: can't chrono,92
105,NOT ALL VOID PLAYERS,,3,[Team0][Player3]: NOT ALL VOID PLAYERS,92
106,XD,,3,[Team0][Player3]: XD,92
107,fu void report void ty,,0,[Team0][Player0]: fu void report void ty,92
108,HAH,,3,[Team0][Player3]: HAH,92
109,K2,,3,[Team0][Player3]: K2,92
110,rofl,,9,[Team1][Player4]: rofl,92
111,x),,6,[Team1][Player1]: x),92
112,pretty sure jugg is virgin btw,,0,[Team0][Player0]: pretty sure jugg is virgin btw,92
113,premuted SD xD,,2,[Team0][Player2]: premuted SD xD,92
114,i saw yu missing that cs jugg...,,0,[Team0][Player0]: i saw yu missing that cs jugg...,92
115,come on..,,0,[Team0][Player0]: come on..,92
116,ooooh,,3,[Team0][Player3]: ooooh,92
117,?,,1,[Team0][Player1]: ?,92
118,k,,2,[Team0][Player2]: k,92
119,вы можете зайти по миду,,6,[Team1][Player1]: вы можете зайти по миду,92
120,и спушить?,,6,[Team1][Player1]: и спушить?,92
121,у меня все равно кэри хуесос лесочек фармить будет,,6,[Team1][Player1]: у меня все равно кэри хуесос лесочек фармить будет,92
122,он в ранкед зашел чтобы похуй было,,6,[Team1][Player1]: он в ранкед зашел чтобы похуй было,92
123,=),,6,[Team1][Player1]: =),92
124,я виноват?,,5,[Team1][Player0]: я виноват?,92
125,лол,,5,[Team1][Player0]: лол,92
126,da,,9,[Team1][Player4]: da,92
127,ti vinovat,,9,[Team1][Player4]: ti vinovat,92
128,БИТЬ,,8,[Team1][Player3]: БИТЬ,92
129,zachem ti begaesh,,9,[Team1][Player4]: zachem ti begaesh,92
130,za mnoj,,9,[Team1][Player4]: za mnoj,92
131,jivotnoe,,9,[Team1][Player4]: jivotnoe,92
132,HA,,3,[Team0][Player3]: HA,92
133,NEXT TIME,,3,[Team0][Player3]: NEXT TIME,92
134,ILL GO,,3,[Team0][Player3]: ILL GO,92
135,DIVINE,,3,[Team0][Player3]: DIVINE,92
136,go feed,,0,[Team0][Player0]: go feed,45
137,Xd,,3,[Team0][Player3]: Xd,45
138,KKAS,,3,[Team0][Player3]: KKAS,45
139,why did we get paired with the 3 stack who has no idea how to play dota2,,5,[Team1][Player0]: why did we get paired with the 3 stack who has no idea how to play dota2,45
140,ajaj,,4,[Team0][Player4]: ajaj,45
141,rofl,,5,[Team1][Player0]: rofl,45
142,6-26 combined between three of you,,5,[Team1][Player0]: 6-26 combined between three of you,45
143,ajajaj,,4,[Team0][Player4]: ajajaj,45
144,hehehe,,9,[Team1][Player4]: hehehe,85
145,nc xmark,,9,[Team1][Player4]: nc xmark,85
146,jackpoit,,0,[Team0][Player0]: jackpoit,85
147,dr ?,,0,[Team0][Player0]: dr ?,85
148,haha,,0,[Team0][Player0]: haha,85
149,i love you,,7,[Team1][Player2]: i love you,85
150,why you die ?,,0,[Team0][Player0]: why you die ?,85
151,i dint see you,,0,[Team0][Player0]: i dint see you,85
152,love bro,,7,[Team1][Player2]: love bro,85
153,sad,,6,[Team1][Player1]: sad,85
154,SAD,,6,[Team1][Player1]: SAD,85
155,kunka lord,,4,[Team0][Player4]: kunka lord,85
156,gg kunka,,4,[Team0][Player4]: gg kunka,85
157,shut up noob carry,,6,[Team1][Player1]: shut up noob carry,85
158,SAD,,7,[Team1][Player2]: SAD,85
159,SAD HAHAHA,,7,[Team1][Player2]: SAD HAHAHA,85
160,SWAP COMMEND,,7,[Team1][Player2]: SWAP COMMEND,85
161,SWAP COMMEND,,7,[Team1][Player2]: SWAP COMMEND,85
